Created on 05-18-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-12-30,ETHUSD,134.25,135.99,129.93,131.05,8088.67,1068855.84
2019-12-29,ETHUSD,127.73,137.72,127.32,134.25,13743.98,1826149.66
2019-12-28,ETHUSD,126.31,129.49,125.74,127.73,3245.51,414139.57
2019-12-27,ETHUSD,125.43,126.7,121.82,126.31,9552.74,1192925.76
2019-12-26,ETHUSD,124.97,132.03,124.09,125.43,15307.39,1947841.94
2019-12-25,ETHUSD,127.74,127.82,123.02,124.97,12517.8,1559656.13
2019-12-24,ETHUSD,128.11,129.69,126.63,127.74,7481.56,956739.47
2019-12-23,ETHUSD,132.28,135.16,126.1,128.11,20694.61,2722358.37
2019-12-22,ETHUSD,127.11,133.05,126.87,132.28,13919.89,1817430.58
2019-12-21,ETHUSD,128.28,128.44,126.62,127.11,6769.98,861986.97
2019-12-20,ETHUSD,128.15,129.35,125.72,128.28,18170.72,2311782.65
2019-12-19,ETHUSD,132.94,134.1,125.6,128.15,38878.66,4958836.96
2019-12-18,ETHUSD,121.78,134.81,116,132.94,55401.18,6910535.59
2019-12-17,ETHUSD,132.29,132.63,119.72,121.78,48569.29,6143874.08
2019-12-16,ETHUSD,142.33,142.53,128.94,132.29,48678.33,6567630.52
2019-12-15,ETHUSD,141.64,144,139.79,142.33,8823.41,1254826.68
2019-12-14,ETHUSD,144.59,145,141.02,141.64,5665.08,806112.91
2019-12-13,ETHUSD,144.74,145.12,142.74,144.59,15137.36,2181388.02
2019-12-12,ETHUSD,143.2,145.68,139.18,144.74,20091.22,2864899.4
2019-12-11,ETHUSD,145.64,146.31,141.93,143.2,7134.99,1029504.26
2019-12-10,ETHUSD,147.36,148.28,143.73,145.64,15409.28,2250446.35
2019-12-09,ETHUSD,150.62,151.58,146.61,147.36,13230.83,1972961.03
2019-12-08,ETHUSD,147.31,151.99,146.17,150.62,6733.52,1009404.68
2019-12-07,ETHUSD,148.49,149.94,147.13,147.31,4143.01,614212.07
2019-12-06,ETHUSD,147.99,149.79,145.78,148.49,15950.79,2358240.81
2019-12-05,ETHUSD,145.46,148.93,143.7,147.99,13770.93,2016213.48
2019-12-04,ETHUSD,147.38,152.57,143.11,145.46,23895.08,3528037.76
2019-12-03,ETHUSD,149.04,150.02,145.73,147.38,11106.47,1640256.28
2019-12-02,ETHUSD,151.13,151.58,146.88,149.04,7135.54,1059610.93
2019-12-01,ETHUSD,151.65,152.26,145.91,151.13,8959.62,1333786.98
2019-11-30,ETHUSD,154.6,155.36,149.79,151.65,9481.32,1441894.47
2019-11-29,ETHUSD,150.96,157.76,150.68,154.6,21941.82,3381823.02
2019-11-28,ETHUSD,152.64,154.84,149.35,150.96,19258.14,2923244.62
2019-11-27,ETHUSD,147.77,155.86,140.96,152.64,62566.97,9262285.82
2019-11-26,ETHUSD,145.94,150,143.6,147.77,22144.25,3243874.69
2019-11-25,ETHUSD,139.79,151.91,131.74,145.94,91709.02,12940833.0
2019-11-24,ETHUSD,152.34,153.07,138.62,139.79,15312.96,2226423.49
2019-11-23,ETHUSD,150.17,154.44,146.43,152.34,8416.43,1268367.48
2019-11-22,ETHUSD,160.9,162.68,137.71,150.17,91617.23,13797464.29
2019-11-21,ETHUSD,174.23,175.33,155.53,160.9,38041.25,6261085.52
2019-11-20,ETHUSD,175.65,177.3,173.24,174.23,9957.86,1744087.25
2019-11-19,ETHUSD,177.86,178.09,172.5,175.65,16181.78,2827570.01
2019-11-18,ETHUSD,183.85,184.12,174.15,177.86,12991.75,2331779.01
2019-11-17,ETHUSD,182.33,186.27,179.96,183.85,4373.68,802094.44
2019-11-16,ETHUSD,179.82,183.28,179.04,182.33,6070.15,1103675.83
2019-11-15,ETHUSD,184.45,187,177.11,179.82,21867.04,3965978.07
2019-11-14,ETHUSD,187.75,188.22,182.71,184.45,11650.32,2152558.93
2019-11-13,ETHUSD,186.73,189.45,185.08,187.75,9122.1,1708111.55
2019-11-12,ETHUSD,184.39,187.38,182.01,186.73,11199.62,2070911.77
2019-11-11,ETHUSD,188.99,190,183.47,184.39,11736.06,2181577.65
2019-11-10,ETHUSD,185.04,192,183.36,188.99,11190.88,2109871.58
2019-11-09,ETHUSD,183.88,185.73,182.24,185.04,5816.52,1070947.01
2019-11-08,ETHUSD,186.23,188.14,180.78,183.88,23209.96,4257563.76
2019-11-07,ETHUSD,191.14,191.87,184.32,186.23,10332.62,1936233.06
2019-11-06,ETHUSD,188.68,194.73,187.86,191.14,16394.05,3133709.79
2019-11-05,ETHUSD,186.31,192.64,182.48,188.68,25726.13,4842423.56
2019-11-04,ETHUSD,181.57,189.64,180.42,186.31,13152.37,2449287.5
2019-11-03,ETHUSD,182.72,184.97,179.11,181.57,4948.0,895967.01
2019-11-02,ETHUSD,183.42,186.24,181.95,182.72,5148.77,945147.17
2019-11-01,ETHUSD,182.69,184.88,177.25,183.42,19320.02,3501690.14
2019-10-31,ETHUSD,183.31,185.47,177.57,182.69,26791.83,4876641.44
2019-10-30,ETHUSD,190.95,192.15,180.08,183.31,28814.21,5318063.06
2019-10-29,ETHUSD,181.98,193.24,181.66,190.95,39975.47,7516302.98
